product_url,category,common_name,common_name_alternate,description,name_origin,center_origin_notes,food_basket,nutrition_notes,preparation_notes,storage_notes
acelga,verdura,acelga,,"La acelga, al igual que la espinaca, brilla en ensaladas, pues aporta frescura y un inmenso valor nutricional. Reconocida por su alto aporte en minerales y vitaminas esenciales, es la adición perfecta para una dieta equilibrada.",,"La cocina etíope, rica en opciones vegetarianas, ha visto nacer a la acelga en sus tierras y ha sido la primera en acogerla como un ingrediente esencial en sus deliciosas recetas verdes.",False,"La acelga, rica en vitaminas A, C y K y minerales esenciales para el buen funcionamiento del organismo, como magnesio, hierro y potasio, también ayuda a regular los procesos digestivos. Su elevado contenido de vitamina K ayuda a mantener sanos los huesos y la sangre.",,En un recipiente cerrado con poca humedad
aguacate,fruta,aguacate,palta,"¿Fruta o verdura? No importa, igual es delicioso. El aguacate es parte importantísima de nuestra dieta y de nuestra cultura. Es un alimento muy nutritivo y versátil, que se puede comer en ensaladas, guacamole y salsas, ¡y también en recetas dulces!",,"Esta fruta fue sumamente importante en la dieta de las culturas nativas de Mesoamérica, y hasta nuestra época sigue siendo un alimento dinámico que se utiliza tanto para platillos dulces como salados.",True,"Entre sus más sólidos nutrientes cuenta el aguacate con las vitaminas A, C y E. El aguacate es un reductor natural de los niveles de colesterol malo en sangre gracias a su destacada oferta de grasas saludables.",,El jugo de limón conservará la superficie del aguacate para evitar que se oscurezca
ajo,verdura,ajo,,"Aleja a los vampiros, pero atrae a los buenos sabores a los platos. Integrante estrella de la triada de la sazón junto con el ajo y el chile dulce, no hay sofrito que se respete sin la presencia de un diente de ajo. Este saborizante natural,además, fortalece su sistema inmunológico.",,"Aparte de ser utilizado como un condimento para los alimentos, también se ha utilizado en la India como loción antibacterial para lavar heridas. Esto debido a sus propiedades antisépticas.",True,"Aunque su base nutricional se apoya sobre todo en sus componentes sulfurados (alicina, dialil sulfidos), el ajo también aporta fósforo, potasio, magnesio, selenio, vitamina B6, yodo y proteínas. Su consumo fortalece además los vasos sanguíneos.",,Siempre en un sitio oscuro y seco
albahaca,hierba,albahaca,"albaca, alfábega, alhábega",Lleve sus platos de pasta a un nivel superior con el sabor agregado de la albahaca. Incorpore a las ensaladas su aroma mediterráneo o termine su día preparándola como un té relajante.,,"Especie aromática reconocida por el gran sabor que le brinda a los alimentos, conocida también por la utilización como planta curativa en la medicina tradicional ayurveda de la India.",False,"Rica en calcio, potasio, vitaminas A, B1 y C, hierro, sodio, fósforo, proteínas y fibra vegetal, a la albahaca se le emplea para estimular la producción de leche materna, disminuir los gases, como analgésico, cicatrizante y solución capilar, digestivo y estimulante del apetito.",,Guardar las hojas en un recipiente envueltas en papel de cocina para que absorba la humedad
alfalfa,hierba,alfalfa,"afalfe, afarfa, alfal, alfalce, alfalce bordo, alfalfa , alfalfa brava, alfalfa mansa, alfalfa silvestre, alfalfe, alfalz, alfance, alfange, alfarfa, alfauce, alfaz, alfás, alholva, almierca, amelca, amielcas, arfarfa, carretón, carretón borde, ervaye, falfa, farfa, melga, merga, miajera, mielca, mielcón, mielga, mielgas, mierga, miergas, mierpes, nielga, probayernos, trebolillo, trébol de España, zarza.","Igual que su tocayo de ""Los Pequeños Traviesos"", la alfalfa es una hierba bastante tenaz, ya que se adapta sin problemas a climas fríos y cálidos. Usualmente utilizada en ensaladas, la alfalfa también puede tener usos bastante controvertidos en sándwiches y sopas.",,"Se ha utilizado como alimento en partes de Rusia, China y América, por ejemplo, en la preparación de tortillas, té, croquetas, sopas y ensaladas crudas y cocidas. Mientras que en Sudáfrica se utiliza ocasionalmente como sustituto de las espinacas.",False,"Abundante en vitamina C, la alfalfa se erige como un antioxidante excepcional y una valiosa fuente de calcio. No solo eso, también despliega su eficacia como un tratamiento para la diabetes, al disminuir la absorción de glucosa en los intestinos y potenciar la generación de insulina.",,Dentro de una bolsa que no seaq hermética
anona,fruta,anona,"chirimoya, sincuya, zuncuya","No se deje engañar por la ruda apariencia de esta fruta, ya que en su interior guarda un tesoro: una masa suave, dulce y cremosa que se puede comer como se le ocurra. Puede hacerla  en jugo o convertirla en su próximo postre favorito. Es el sabor del Caribe en una fruta.",,"Originaria de América del Sur, se cree que la anona tiene sus raíces en Perú y Ecuador. Tradicionalmente, se consume partiendo la fruta por la mitad y disfrutando de su pulpa con cuchara. En Chile, la anona se transforma en un delicioso ponche navideño.",False,"La anona, tesoro fitoquímico de la medicina tradicional, despliega un arsenal nutricional: calcio, potasio e hierro para la salud cutánea y de los tejidos, respaldados por las vitaminas B1, B2, B3 y B9, artífices clave de sus propiedades antioxidantes.",,Lugar ventilado y fresco
apazote,hierba,apazote,"epazote, pazote, epasote, pizate, paico, pasota, pasote","El apazote es una hierba icónica en la cocina mexicana y un ingrediente emblemático en la preparación de frijoles negros. Una pizca de esta hierba llenará de sabor y personalidad sus frijoles, sopas o tamales.",,"Nativo de los suelos arenosos de México, el apazote, condimento arraigado en la cultura culinaria azteca, persiste como un sabor esencial en las recetas mexicanas, desde quesadillas hasta frijoles, y caldos de camarón.",False,"El apazote despliega en sus hojas una rica amalgama de monoterpenos, entre los cuales destaca el ascaridol, reconocido por su eficacia en la erradicación de gusanos intestinales y su utilidad como tratamiento para trastornos digestivos.",,En una bolsa con sello hermético
apio,verdura,apio,"pio, apio acuático,  apio bastardo, apio blanco, apio borde, apio bravo, apio bravío, apio común, apio acuático, apio de agua, apio de arroyo, apio de arroyos, apio de huerta, apio de laguna, apio de las lagunas, apio de los huertos, apio de monte, apio dulce, apio laguna, apio nabo, apio palustre, apio silvestre, celerio, célery, habit, perejil de agua,apio España, panul","Sabor discreto y jugoso, con pocas calorías y mucha fibra, ¿qué no le podría gustar del apio? Ya sea crudo, con aderezos, frito o al vapor, ese ¡crunch! es demasiado bueno para dejarlo pasar. ",,"Originario del Mediterráneo, el apio, en sus inicios medicinal y amargo, fue liberado de sus confines medicinales por hábiles agricultores que suavizaron su sabor. Así, empezando por Suecia, se convirtió el apio en un deleite global disfrutado sin remordimientos.",True,"Añadiendo a su notable contenido de fibra y potasio, el apio es rico en ftalida, un fitoquímico reconocido por su capacidad para relajar las paredes arteriales. Esta propiedad potencia la circulación sanguínea y contribuye a reducir la presión arterial.",,Humedecer una toalla de papel de cocina y envolver las ramas del apio
arandano,fruta,arándano,"mortiño, anavia","Como una lluvia mañanera, el arándano es fresco y tiene un sabor deliciosamente balanceado, ni muy dulce, ni muy ácido. Práctica y de fácil consumo, esta baya azul es la adición ideal para enriquecer sus desayunos con abundantes vitaminas y antioxidantes.",,"Misterioso en su origen, el arándano prospera de forma espontánea en Europa, Asia y Norteamérica, región que alberga su principal productor, Estados Unidos, con más del 95% de la producción global. Tribus nativas norteamericanas lo cosechaban para enriquecer pasteles y carnes.",False,"De notable capacidad antioxidante, el arándano aporta vitamina B3, fundamental para mejorar la función cognitiva en adultos mayores, y vitaminas A, B y C, que fortalecen el sistema inmunológico. Su aporte en potasio contribuye además a fortalecer el corazón.  ",,En un recipiente con papel toalla como base para que absorba la humedad
arracache,raiz,arracache,,"El picadillo preferido de los ""gallos"" de tortilla. El arracache es una raíz que, cuando se cocina, se convierte en una deliciosa guarnición para platos fuertes como, por ejemplo, los famosos casados.",,"Tubérculo de origen andino, el arracache es ingrediente común en la cocina sudamericana. La torta o queque de arracache es un pilar de la cultura gastronómica peruana.",False,"Sus aportes de hierro y calcio ayudan a prevenir la osteoporosis y a mejorar la salud de los dientes, al tiempo que su riqueza en vitaminas del complejo B y C, y zinc, solidifica el sistema inmunológico. Su alto contenido de vitamina B3 ayuda a disminuir los niveles de colesterol y triglicéridos.",,"Se puede lavar, pelar y cortar en trocitos antes de refigerarlo"
