variety_id,product_url_id,scientific_name,scientific_name_variety,common_name_variety,common_name_variety_alternate,description,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
2,acelga,Beta vulgaris,cicla,,,,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0
3,aguacate,Persea americana,Hass,Hass,,,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0
4,aguacate,Persea americana,drymifolia,criollo,,,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
5,ajo,Allium sativum,,,,,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0
6,albahaca,Ocimum basilicum,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
7,alfalfa,Medicago sativa,,,,,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0
8,anona,Annona squamosa,,,,,1.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
9,apazote,Dysphania ambrosioides,,,epazote o paico,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
10,apio,Apium graveolens,,verde,,,3.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0
11,arandano,Vaccinium corymbosum,,,,,1.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
12,arracache,Arracacia xanthorrhiza,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
13,arugula,Eruca vesicaria,,,rúgula o rúcula,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,guisante,Pisum sativum,,,petit pois o arveja,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,ayote,Cucurbita argyrosperma,,tierno,,,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0
16,ayote,Cucurbita argyrosperma,,sazón mantequilla,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0
17,ayote,Cucurbita argyrosperma,,sazón seco,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0
18,ayote,Cucurbita argyrosperma,,pipián tierno,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0
19,banano,Musa paradisiaca,,dátil,,,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0
20,banano,Musa paradisiaca,,guineo cuadrado,guineo chino,,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0
21,banano,Musa paradisiaca,,guineo negro,,,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0
22,banano,Musa paradisiaca,,criollo,,,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0
23,banano,Musa paradisiaca,,maduro,,,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0
24,banano,Musa paradisiaca,,pintón,,,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0
25,banano,Musa paradisiaca,,verde,,,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0
26,berenjena,Solanum melongena,,,,,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0
27,berro,Ipomoea aquatica,,chino,,,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0
28,berro,Nasturtium officinale,,nacional,,,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0
29,bokchoy,Brassica rapa,chinensis,,pak choi,,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0
30,brocoli,Brassica oleracea,italica,,,,1.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0
31,camote,Ipomoea batatas,,,,,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0
32,carambola,Averrhoa carambola,,,,,3.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0
33,cas,Psidium friedrichsthalianum,,,,,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0
34,cebolla,Allium cepa,,blanca,,,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0
35,cebolla,Allium cepa,,morada,,,1.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0
36,cebollino,Allium fistulosum,,fino,,,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0
37,cebollino,Allium schoenoprasum,,grande,,,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0
38,chan,Hyptis suaveolens,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
39,chayote,Sechium edule,,cocoro,,,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0
40,chayote,Sechium edule,,tierno,chayote quelite,,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0
41,chayote,Sechium edule ,,tierno,,,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0
42,chayote,Sechium edule ,,sazón,,,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0
43,chiledulce,Capsicum annuum,,color mundial,,,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0
44,chiledulce,Capsicum annuum,,,,,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0
45,chilepicante,Capsicum annuum,,jalapeño,,,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0
46,chilepicante,Capsicum baccatum,,ají peruano,,,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0
47,chilepicante,Capsicum chinense,,panameño,,,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0
48,chilepicante,Capsicum frutescens,,cayena,,,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0
49,chilepicante,Capsicum pubescens,,rocoto,,,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0
50,chilepicante,Naga jolokia,,fantasma,,,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0
51,chilote,Stigma maydis,,,,,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0
52,ciruela,Prunus domestica,americana,americana,,,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0
53,ciruela,Prunus domestica,,,,,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0
54,coco,Cocos nucifera,,,pipa,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
55,coldebruselas,Brassica oleracea,gemmifera,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0
56,coladecaballo,Equisetum arvense,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
57,coliflor,Brassica oleracea,botrytis,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0
58,cubaces,Phaseolus coccineus,,secos,,,1.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0
59,cubaces,Phaseolus coccineus,,tiernos,,,1.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0
60,culantro,Coriandrum sativum,,castilla,cilantro,,3.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0
61,culantrocoyote,Eryngium foetidum,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0
62,curcuma,Curcuma longa,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
63,eneldo,Anethum graveolens,,,abesón,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
64,esparrago,Asparagus officinalis,,,,,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0
65,espinaca,Spinacia oleracea,,,,,1.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0
66,estragon,Artemisia dracunculus,,,,,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0
67,fresa,Fragaria × ananassa,,,,,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0
68,frijol,Phaseolus vulgaris,,blanco,,,1.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0
69,frijol,Phaseolus vulgaris,,calima,,,1.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0
70,frijol,Phaseolus vulgaris,,negro,,,1.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0
71,frijol,Phaseolus vulgaris,,rojo,,,1.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0
