marketplace_url,name,name_alternate,description,opening_hours,location,area,size,province,canton,district,postal_code,address,phone,email,website,facebook,instagram,opening_date,operator,branch,marketplace_type,parking,bicycle_parking,fairground,indoor,toilets,handwashing,drinking_water,food,drinks,handicrafts,butcher,dairy,seafood,spices,garden_centre,florist,other_services
alajuela,Alajuela,"Plaza Ferias, Feria de San Rafael de Alajuela, El Mayoreo de Alajuela",,Fr 12:00-20:00; Sa 06:00-13:00,SRID=4326;POINT (-84.2190568571068 10.013534238571),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",XL,Alajuela,Alajuela,Alajuela,20101,"en Plaza Ferias. De la bomba Santa Anita, 200 m al oeste. Del PriceSmart de Alajuela, 250 m al este. Por Ekono",24432010,pferias@plazaferias.com,,https://www.facebook.com/people/Plaza-Ferias-Alajuela/100064584170065/,,,Plaza Ferias,,mercado,surface,true,true,true,true,true,true,true,true,true,true,true,true,,true,true,
alajuelita,Alajuelita,,,Sa 05:00-14:00,SRID=4326;POINT (-84.0995035531553 9.90333588789531),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,San José,Alajuelita,Alajuelita,11001,al costado norte de la iglesia católica de Alajuelita ,24185712,,,https://m.facebook.com/municipalidadalajuelita/?__tn__=C-R,,,,Central Central,feria,street_side,false,false,false,false,true,true,true,true,false,false,true,true,,true,false,
aranjuez,Aranjuez,Feria Verde,,Sa 05:00-12:00,SRID=4326;POINT (-84.0681364969478 9.94005531606972),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",S,San José,San José,Carmen,10101,"en el Polideportivo de Aranjuez, frente a la oficina administrativa de la Casa Cantonal de la Juventud ",,info@feriaverde.org,,https://www.facebook.com/FeriaVerde/about,,,,,mercado,surface,false,true,true,true,true,true,true,true,true,false,false,false,,true,true,
aserri,Aserrí,,,Sa 05:00-13:00,SRID=4326;POINT (-84.0911683644874 9.85779629768018),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,San José,Aserrí,Aserrí,10601,en el Polideportivo de Aserrí,88350758,,,,,,Centro Agrícola Cantonal de Aserrí,Central Central,feria,surface,false,false,true,true,true,true,true,true,false,true,true,true,,true,true,
atenas,Atenas,,,We 12:00-20:00; Th 06:00-12:00,SRID=4326;POINT (-84.3688177562949 9.97644023385185),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,Alajuela,Atenas,Atenas,20501,"en la radial de Atenas. De los Tribunales de Justicia, 1 km al este ",24469033,cacatenas@gmail.com,,https://www.facebook.com/cacatenas.feriadelagricultor/,,,,Central Occidental Oeste,feria,surface,true,true,true,true,true,true,true,true,true,false,true,false,,true,true,
aurora,Aurora de Alajuelita,,,,SRID=4326;POINT (-84.1201332392868 9.92074813079466),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,San José,Alajuelita,San Felipe,11005,en la calle principal frente a la urbanización Garabito ,22825986,,,https://m.facebook.com/municipalidadalajuelita/?__tn__=C-R,,,,Central Central,feria,lane,true,false,false,true,false,false,true,true,false,false,true,true,,true,false,
barranca,Barranca,,,Fr 12:00-19:00; Sa 05:00-12:00,SRID=4326;POINT (-84.718868235229 9.98543258450293),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,Puntarenas,Puntarenas,Barranca,60108,en las instalaciones del Consejo Nacional de Producción (CNP). Diagonal a Licorera Pipos,26500408,,,https://www.facebook.com/p/Centro-Agronegocios-Barranca-100063724594841/,,,,,feria,surface,true,true,true,true,true,true,true,true,true,true,true,true,,true,true,
sanmartindecoronado,Barrio San Martín de Coronado,,,,SRID=4326;POINT (-84.0139677328471 9.97374530142947),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,San José,Vázquez de Coronado,San Isidro,11101,"barrio San Martín: de la clínica de Coronado, 150 m al norte ",22294023,,,https://www.facebook.com/feriacoronado/?locale=es_LA,,,,Central Oriental,feria,,,,,,,,,,,,,,,,,
barva,Barva,,,Sa 05:00-12:30,SRID=4326;POINT (-84.1285240018812 10.0188019537426),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,Heredia,Barva,Barva,40201,contiguo a la plaza de deportes de San Bartolomé ,88077781,,,,https://www.facebook.com/CACBarva?locale=es_LA,,,,feria,lane,false,false,false,false,true,true,false,true,true,false,true,false,,true,false,
bijagua,Bijagua,,,Sa 08:00-17:00; Su 08:00-17:00,SRID=4326;POINT (-85.056791055683 10.7302359346925),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,Alajuela,Upala,Bijagua,21304,"del Banco Nacional, 100 m al norte frente a la farmacia Margarita ",87431848,,,,,,Asociación entre Volcanes de productos comestibles y artesanales.,Huetar Norte,mercado,lane,false,false,false,false,false,false,false,true,false,false,true,false,,false,false,
buenosaires,Buenos Aires,,,Sa 05:00-14:00,SRID=4326;POINT (-83.3317039646372 9.17455309613615),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,Puntarenas,Buenos Aires,Buenos Aires,60301,frente a la escuela de Buenos Aires ,83046164,cacba.ba@hotmail.com,,https://www.facebook.com/CACBUENOSAIRES/?locale=es_LA,,,Red Quercus,Brunca,feria,lane,false,true,false,false,false,false,true,false,true,false,true,false,,true,false,
canas,Cañas,,,,SRID=4326;POINT (-85.0932470490757 10.4308518095706),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,Guanacaste,Cañas,Cañas,50601,,,,,,,,,,,,,,,,,,,,,,,,,,,
ciudadcolon,Ciudad Colón,,,Sa 05:00-14:00,SRID=4326;POINT (-84.2414218067976 9.91490346610088),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,San José,Mora,Colón,10701,en el antiguo mercado de Ciudad Colón. Sobre el Bulevar Alcides Jiménez Rojas,24185712,,https://mora.go.cr/,,,,Centro Agrícola Cantonal de Mora,Central Central,feria,lane,false,true,true,true,true,true,true,true,true,true,true,false,,true,true,
ciudadneily,Ciudad Neily,,,Sa 06:00-16:00,SRID=4326;POINT (-82.9412294365968 8.64874177630325),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,Puntarenas,Corredores,Corredor,61001,frente al mercado de Ciudad Neily,27835735,,,https://www.facebook.com/dprendas/,,,,Brunca,feria,lane,false,false,true,false,false,false,true,true,true,false,true,false,,true,true,
ciudadquesada,Ciudad Quesada,Feria del Agricultor y Artesanos de Ciudad Quesada ,,Th 08:00-8:00; Fr 7:00-13:00,SRID=4326;POINT (-84.4362547985586 10.3318745225115),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,Alajuela,San Carlos,Quesada,21001,"de la plaza San Carlos, 200 m al oeste ",89471548,admavacafcq@gmail.com ,,https://www.facebook.com/people/Feria-del-Agricultor-Ciudad-Quesada-Corefa-RHN/100027716936131/,,,,Huetar Norte,mercado,surface,true,true,true,true,true,true,true,true,true,true,true,true,,true,false,
