variety_id,product_url,scientific_name,scientific_name_variety,common_name_variety,common_name_variety_alternate,description,image,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
acelga,acelga,Beta vulgaris,cicla,,,,products/acelga.png,3,3,3,2,2,2,2,1,1,2,2,2
aguacate_Hass,aguacate,Persea americana,Hass,Hass,,,products/aguacate_Hass.png,3,3,2,1,1,1,1,2,2,3,3,3
aguacate_criollo,aguacate,Persea americana,drymifolia,criollo,,,products/aguacate_criollo.png,1,3,2,2,2,2,2,1,1,1,1,1
ajo,ajo,Allium sativum,,,,,products/ajo.png,3,3,2,1,1,2,2,2,2,3,3,3
albahaca,albahaca,Ocimum basilicum,,,,,products/albahaca.png,2,2,2,2,2,2,2,2,2,2,2,2
alfalfa,alfalfa,Medicago sativa,,,,,products/alfalfa.png,3,3,2,1,1,1,1,3,3,2,1,3
anona,anona,Annona squamosa,,,,,products/anona.png,1,3,3,3,3,2,2,1,1,1,1,1
apazote,apazote,Dysphania ambrosioides,,,epazote o paico,,products/apazote.png,2,2,2,2,2,2,2,2,2,2,2,2
apio_verde,apio,Apium graveolens,,verde,,,products/apio_verde.png,3,2,3,3,3,2,1,1,2,2,3,3
arandano,arandano,Vaccinium corymbosum,,,,,products/arandano.png,1,3,3,3,3,2,2,1,1,1,1,1
arracache,arracache,Arracacia xanthorrhiza,,,,,products/arracache.png,2,2,2,2,2,2,2,2,2,2,2,2
arugula,arugula,Eruca vesicaria,,,rúgula o rúcula,,products/arugula.png,1,1,1,1,1,1,1,1,1,1,1,1
guisante,guisante,Pisum sativum,,,petit pois o arveja,,products/guisante.png,1,1,1,1,1,1,1,1,1,1,1,1
ayote_tierno,ayote,Cucurbita argyrosperma,,tierno,,,products/ayote_tierno.png,1,1,1,3,3,3,2,3,3,3,3,1
ayote_sazon_mantequilla,ayote,Cucurbita argyrosperma,,sazón mantequilla,,,products/ayote_sazon_mantequilla.png,2,2,2,2,2,2,2,1,3,3,1,1
ayote_sazon_seco,ayote,Cucurbita argyrosperma,,sazón seco,,,products/ayote_sazon_seco.png,2,2,2,2,2,2,2,1,3,3,1,1
ayote_pipian_tierno,ayote,Cucurbita argyrosperma,,pipián tierno,,,products/ayote_pipian_tierno.png,2,1,1,1,1,1,1,3,3,3,3,2
banano_datil,banano,Musa paradisiaca,,dátil,,,products/banano_datil.png,3,3,2,3,2,2,2,1,1,1,2,2
banano_guineo_cuadrado,banano,Musa paradisiaca,,guineo cuadrado,guineo chino,,products/banano_guineo_cuadrado.png,3,3,3,3,3,3,2,1,1,1,1,1
banano_guineo_negro,banano,Musa paradisiaca,,guineo negro,,,products/banano_guineo_negro.png,3,3,3,3,3,3,2,1,1,1,1,1
banano_criollo,banano,Musa paradisiaca,,criollo,,,products/banano_criollo.png,3,3,3,3,3,3,2,1,1,1,1,1
banano_maduro,banano,Musa paradisiaca,,maduro,,,products/banano_maduro.png,3,3,2,3,2,2,2,1,1,1,2,2
banano_pinton,banano,Musa paradisiaca,,pintón,,,products/banano_pinton.png,3,3,2,3,2,2,2,1,1,1,2,2
banano_verde,banano,Musa paradisiaca,,verde,,,products/banano_verde.png,3,3,2,3,2,2,2,1,1,1,2,2
berenjena,berenjena,Solanum melongena,,,,,products/berenjena.png,1,1,1,2,2,2,3,3,3,3,3,1
berro_chino,berro,Ipomoea aquatica,,chino,,,products/berro_chino.png,2,1,1,2,2,2,3,3,3,3,3,1
berro_nacional,berro,Nasturtium officinale,,nacional,,,products/berro_nacional.png,1,1,1,2,2,2,3,3,3,3,3,1
bokchoy,bokchoy,Brassica rapa,chinensis,,pak choi,,products/bokchoy.png,1,1,1,2,2,2,3,3,3,3,3,1
brocoli,brocoli,Brassica oleracea,italica,,,,products/brocoli.png,1,1,2,3,3,2,1,3,3,1,2,1
camote,camote,Ipomoea batatas,,,,,products/camote.png,1,2,2,3,3,3,3,2,2,2,1,1
carambola,carambola,Averrhoa carambola,,,,,products/carambola.png,3,3,1,1,1,2,3,3,3,2,2,2
cas,cas,Psidium friedrichsthalianum,,,,,products/cas.png,2,1,1,1,1,2,3,3,3,3,2,2
cebolla_blanca,cebolla,Allium cepa,,blanca,,,products/cebolla_blanca.png,1,1,3,3,3,1,1,1,3,3,3,1
cebolla_morada,cebolla,Allium cepa,,morada,,,products/cebolla_morada.png,1,1,2,3,3,3,2,1,1,3,3,1
cebollino_fino,cebollino,Allium fistulosum,,fino,,,products/cebollino_fino.png,1,2,2,3,3,3,3,3,3,2,2,1
cebollino_grande,cebollino,Allium schoenoprasum,,grande,,,products/cebollino_grande.png,1,2,2,3,3,3,3,3,3,2,2,1
chan,chan,Hyptis suaveolens,,,,,products/chan.png,2,2,2,2,2,2,2,2,2,2,2,2
chayote_cocoro,chayote,Sechium edule,,cocoro,,,products/chayote_cocoro.png,3,1,1,2,2,2,2,1,1,2,3,3
chayote_tierno,chayote,Sechium edule,,tierno,chayote quelite,,products/chayote_tierno.png,3,1,1,2,2,2,2,2,2,3,3,3
chayote_tierno,chayote,Sechium edule ,,tierno,,,products/chayote_tierno.png,3,1,1,2,2,2,2,1,1,2,3,3
chayote_sazon,chayote,Sechium edule ,,sazón,,,products/chayote_sazon.png,3,1,1,2,2,2,2,1,1,2,3,3
chiledulce_color_mundial,chiledulce,Capsicum annuum,,color mundial,,,products/chiledulce_color_mundial.png,1,2,2,2,3,3,2,2,3,2,1,1
chiledulce,chiledulce,Capsicum annuum,,,,,products/chiledulce.png,1,2,2,2,3,3,2,2,3,2,1,1
chilepicante_jalapeno,chilepicante,Capsicum annuum,,jalapeño,,,products/chilepicante_jalapeno.png,1,2,2,2,3,3,2,2,3,2,1,1
chilepicante_aji_peruano,chilepicante,Capsicum baccatum,,ají peruano,,,products/chilepicante_aji_peruano.png,1,2,2,2,3,3,2,2,3,2,1,1
chilepicante_panameno,chilepicante,Capsicum chinense,,panameño,,,products/chilepicante_panameno.png,1,2,2,2,3,3,2,2,3,2,1,1
chilepicante_cayena,chilepicante,Capsicum frutescens,,cayena,,,products/chilepicante_cayena.png,1,2,2,2,3,3,2,2,3,2,1,1
chilepicante_rocoto,chilepicante,Capsicum pubescens,,rocoto,,,products/chilepicante_rocoto.png,1,2,2,2,3,3,2,2,3,2,1,1
chilepicante_fantasma,chilepicante,Naga jolokia,,fantasma,,,products/chilepicante_fantasma.png,1,2,2,2,3,3,2,2,3,2,1,1
chilote,chilote,Stigma maydis,,,,,products/chilote.png,1,2,2,2,3,3,2,2,3,2,1,1
ciruela_americana,ciruela,Prunus domestica,americana,americana,,,products/ciruela_americana.png,2,3,2,2,3,3,3,3,3,3,1,1
ciruela,ciruela,Prunus domestica,,,,,products/ciruela.png,2,3,2,2,3,3,3,3,3,3,1,1
coco,coco,Cocos nucifera,,,pipa,,products/coco.png,2,2,2,2,2,2,2,2,2,2,2,2
coldebruselas,coldebruselas,Brassica oleracea,gemmifera,,,,products/coldebruselas.png,2,2,2,2,2,1,1,2,2,3,3,3
coladecaballo,coladecaballo,Equisetum arvense,,,,,products/coladecaballo.png,2,2,2,2,2,2,2,2,2,2,2,2
coliflor,coliflor,Brassica oleracea,botrytis,,,,products/coliflor.png,2,2,2,2,2,1,1,2,2,3,3,3
cubaces_secos,cubaces,Phaseolus coccineus,,secos,,,products/cubaces_secos.png,1,3,2,1,1,3,3,2,2,3,3,1
cubaces_tiernos,cubaces,Phaseolus coccineus,,tiernos,,,products/cubaces_tiernos.png,1,3,2,1,1,3,3,2,2,3,3,1
culantro_castilla,culantro,Coriandrum sativum,,castilla,cilantro,,products/culantro_castilla.png,3,3,2,3,1,1,3,3,2,1,2,2
culantrocoyote,culantrocoyote,Eryngium foetidum,,,,,products/culantrocoyote.png,3,3,3,3,3,3,3,1,1,1,1,1
curcuma,curcuma,Curcuma longa,,,,,products/curcuma.png,2,2,2,2,2,2,2,2,2,2,2,2
eneldo,eneldo,Anethum graveolens,,,abesón,,products/eneldo.png,2,2,2,2,2,2,2,2,2,2,2,2
esparrago,esparrago,Asparagus officinalis,,,,,products/esparrago.png,2,2,3,3,3,3,2,2,2,3,3,3
espinaca,espinaca,Spinacia oleracea,,,,,products/espinaca.png,1,1,2,3,3,3,2,3,3,1,1,1
estragon,estragon,Artemisia dracunculus,,,,,products/estragon.png,2,2,3,3,3,3,2,2,2,3,3,3
fresa,fresa,Fragaria × ananassa,,,,,products/fresa.png,1,2,3,3,3,3,2,3,2,1,1,1
frijol_blanco,frijol,Phaseolus vulgaris,,blanco,,,products/frijol_blanco.png,1,3,2,1,1,3,3,2,2,3,3,1
frijol_calima,frijol,Phaseolus vulgaris,,calima,,,products/frijol_calima.png,1,3,2,1,1,3,3,2,2,3,3,1
frijol_negro,frijol,Phaseolus vulgaris,,negro,,,products/frijol_negro.png,1,3,2,1,1,3,3,2,2,3,3,1
frijol_rojo,frijol,Phaseolus vulgaris,,rojo,,,products/frijol_rojo.png,1,3,2,1,1,3,3,2,2,3,3,1
garbanzo,garbanzo,Cicer arietinum,,,,,products/garbanzo.png,1,3,2,1,1,3,3,2,2,3,3,1
granadilla,granadilla,Passiflora ligularis,,,,,products/granadilla.png,3,3,3,3,3,2,1,1,1,2,2,2
guanabana,guanabana,Annona muricata,,,,,products/guanabana.png,3,3,3,2,3,3,2,1,1,1,1,1
guayaba,guayaba,Psidium guajava,,,,,products/guayaba.png,3,3,2,2,2,2,2,3,3,3,1,1
hierbabuena,hierbabuena,Mentha spicata,,,yerbabuena o menta de jardín,,products/hierbabuena.png,2,2,2,2,2,2,2,2,2,2,2,2
hinojo,hinojo,Foeniculum vulgare,,,,,products/hinojo.png,0,0,0,1,2,3,3,3,3,3,3,3
hongo_crimini,hongo,Agaricus bisporus,,crimini,,,products/hongo_crimini.png,2,2,2,2,2,2,2,2,2,2,2,2
hongo_portobello,hongo,Agaricus bisporus,,portobello,,,products/hongo_portobello.png,2,2,2,2,2,2,2,2,2,2,2,2
hongo_blanco_champinon,hongo,Boletus edulis,,blanco champiñon,,,products/hongo_blanco_champinon.png,2,2,2,2,2,2,2,2,2,2,2,2
hongo_ostra,hongo,Pleurotus ostreatus,,ostra,,,products/hongo_ostra.png,2,2,2,2,2,2,2,2,2,2,2,2
jengibre,jengibre,Zingiber officinale,,,,,products/jengibre.png,3,3,3,2,2,1,1,1,2,3,3,3
jocote_tronador,jocote,Spondias purpurea,,tronador,jocote tronador,,products/jocote_tronador.png,0,0,0,0,0,2,3,3,2,0,0,0
kale_verde,kale,Brassica oleracea,sabellica,verde,col rizada o  brócoli chino,,products/kale_verde.png,2,2,2,3,3,3,3,3,2,1,2,2
kiwi,kiwi,Actinidia deliciosa,,,,,products/kiwi.png,3,3,3,3,3,3,2,2,2,3,3,3
lechuga_escarola,lechuga,Cichorium endivia,,escarola,,,products/lechuga_escarola.png,2,3,3,3,3,2,2,1,1,3,3,3
lechuga_lollo_rosa,lechuga,Lactuca sativa,acephala,lollo rosa,,,products/lechuga_lollo_rosa.png,2,3,3,3,3,2,2,1,1,3,3,3
lechuga_romana,lechuga,Lactuca sativa,longifolia,romana,,,products/lechuga_romana.png,2,3,3,3,3,2,2,1,1,3,3,3
lechuga_veronica,lechuga,Lactuca sativa,,verónica,,,products/lechuga_veronica.png,2,3,3,3,3,2,2,1,1,3,3,3
lechuga_americana_arrepollada,lechuga,Lactuca sativa ,,americana arrepollada,,,products/lechuga_americana_arrepollada.png,2,3,3,3,3,2,2,1,1,3,3,3
lechuga_BG_crepa,lechuga,Lactuca sativa ,,BG crepa,,,products/lechuga_BG_crepa.png,2,3,3,3,3,2,2,1,1,3,3,3
lechuga_blanca_criolla,lechuga,Lactuca sativa ,,blanca criolla,,,products/lechuga_blanca_criolla.png,2,3,3,3,3,2,2,1,1,3,3,3
lenteja,lenteja,Lens culinaris,,,,,products/lenteja.png,1,3,2,1,1,3,3,2,2,3,3,1
limon_criollo,limon,Citrus × aurantifolia,,criollo,,,products/limon_criollo.png,3,2,1,1,1,1,2,3,3,3,3,3
limon_mandarino,limon,Citrus × limonia,,mandarino,,,products/limon_mandarino.png,3,2,1,1,1,1,2,3,3,3,3,3
limon_mecino,limon,Citrus aurantifolia,,mecino,,,products/limon_mecino.png,1,1,1,1,2,3,3,3,3,3,3,2
limon_dulce,limon,Citrus limetta,,dulce,,,products/limon_dulce.png,1,1,1,1,1,1,1,3,3,3,3,2
linaza,linaza,Linum usitatissimum,,,,,products/linaza.png,2,2,2,2,2,2,2,2,2,2,2,2
maiz_elote_dulce_amarillo,maiz,Zea mays,,elote dulce amarillo,,,products/maiz_elote_dulce_amarillo.png,1,2,1,2,3,3,3,3,3,3,3,2
maiz_elote_tierno,maiz,Zea mays,,elote tierno,,,products/maiz_elote_tierno.png,1,2,1,2,3,3,3,3,3,3,3,2
maiz_cascado,maiz,Zea mays,,cascado,,,products/maiz_cascado.png,1,2,1,2,3,3,3,3,3,3,3,2
malanga,malanga,Colocasia esculenta,,,big taro,,products/malanga.png,1,2,2,3,3,3,3,2,2,2,1,1
mandarina,mandarina,Citrus reticulata,,,,,products/mandarina.png,3,3,3,2,0,0,0,0,1,1,1,1
mandarina_nacional,mandarina,Citrus reticulata,,nacional,,,products/mandarina_nacional.png,3,3,3,2,0,0,0,0,1,1,1,1
mango,mango,Mangifera indica,,,,,products/mango.png,2,2,3,3,3,3,3,3,1,1,1,1
manzana_gala,manzana,Malus domestica,gala,gala,,,products/manzana_gala.png,3,2,1,2,3,3,3,3,2,2,1,1
manzana_granny,manzana,Malus domestica,× M. sylvestris,granny,,,products/manzana_granny.png,3,2,1,2,3,3,3,3,2,2,1,1
manzana_washinton,manzana,Malus domestica ,,washinton,,,products/manzana_washinton.png,3,2,1,2,3,3,3,3,2,2,1,1
manzanadeagua,manzanadeagua,Syzygium malaccense,,,,,products/manzanadeagua.png,3,2,1,2,3,3,3,3,2,2,1,1
manzanilla,manzanilla,Chamaemelum nobile,,,,,products/manzanilla.png,2,2,2,2,2,2,2,2,2,2,2,2
maracuya,maracuya,Passiflora edulis,,,,,products/maracuya.png,3,1,1,3,3,2,2,2,2,2,3,3
melocoton,melocoton,Prunus persica,,,,,products/melocoton.png,1,1,1,1,1,2,3,3,3,2,1,1
melon,melon,Cucumis melo,,,,,products/melon.png,3,3,3,3,3,2,1,1,1,1,1,1
menta,menta,Mentha × piperita,,,,,products/menta.png,2,2,2,2,2,2,2,2,2,2,2,2
