marketplace_url,name,name_alternate,description,opening_hours,location,area,size,province,canton,district,postal_code,address,phone,email,website,facebook,instagram,opening_date,operator,branch,marketplace_type,parking,bicycle_parking,fairground,indoor,toilets,handwashing,drinking_water,food,drinks,handicrafts,butcher,dairy,seafood,spices,garden_centre,florist,other_services
alajuela,Alajuela,"Plaza Ferias, El Mayoreo de Alajuela",,Fr 12:00-20:00; Sa 05:30-14:00,SRID=4326;POINT (-84.2190568571068 10.013534238571),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",XL,Alajuela,Alajuela,Alajuela,20101,"en Plaza Ferias. De la bomba Santa Anita, 200 m al oeste. Del PriceSmart de Alajuela, 250 m al este. Por Ekono",24432010 y 63599250,pferias@plazaferias.com,,https://www.facebook.com/people/Plaza-Ferias-Alajuela/100064584170065/,@plazaferias,1991-03-05,Plaza Ferias,,feria,surface,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,
alajuelita,Alajuelita,,,Sa 05:00-14:00,SRID=4326;POINT (-84.0995035531553 9.90333588789531),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,San José,Alajuelita,Alajuelita,11001,al costado norte de la iglesia católica de Alajuelita ,24185712,,,https://m.facebook.com/municipalidadalajuelita/?__tn__=C-R,,,,Central Central,feria,street_side,false,false,false,false,true,true,true,true,false,false,true,true,,true,false,
aranjuez,Aranjuez,Feria Verde,,Sa 07:00-12:00,SRID=4326;POINT (-84.0681364969478 9.94005531606972),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",M,San José,San José,Carmen,10101,"en el Polideportivo de Aranjuez, frente a la oficina administrativa de la Casa Cantonal de la Juventud ",84628535,info@feriaverde.org,,https://www.facebook.com/FeriaVerde/about,@feriaverde,2010-03-27,Asociación Amantes de lo Orgánico ,,mercado,surface,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,
aserri,Aserrí,,,Sa 05:00-13:00,SRID=4326;POINT (-84.0911683644874 9.85779629768018),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",,San José,Aserrí,Aserrí,10601,en el Polideportivo de Aserrí,88350758,,,,,,Centro Agrícola Cantonal de Aserrí,Central Central,feria,surface,false,false,true,true,true,true,true,true,false,true,true,true,,true,true,
atenas,Atenas,,,Th 12:00-20:00; Fr 06:00-12:00,SRID=4326;POINT (-84.3688177562949 9.97644023385185),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",M,Alajuela,Atenas,Atenas,20501,"en la radial de Atenas. De los Tribunales de Justicia, 1 km al este ",24469033,cacatenas@gmail.com,,https://www.facebook.com/cacatenas.feriadelagricultor/,,1999-02-26,"Junta Directiva, Occidente",Central Occidental Oeste,feria,surface,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,
aurora,Aurora de Alajuelita,,,Sa 05:00-13:00,SRID=4326;POINT (-84.1201332392868 9.92074813079466),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",S,San José,Alajuelita,Aurora,11005,en la calle principal frente a la urbanización Garabito ,24161083,,,https://m.facebook.com/municipalidadalajuelita/?__tn__=C-R - https://m.facebook.com/p/Comit%C3%A9-Regional-Central-Central-Ferias-del-Agricultor-100076977271917/,,2017-05-24,Comité Regional Central Central Ferias del Agricultor,Central Central,feria,street_side,false,false,false,true,false,false,false,false,false,false,true,false,true,true,false,
barranca,Barranca,,,Fr 12:00-21:00; Sa 06:00-12:00,SRID=4326;POINT (-84.718868235229 9.98543258450293),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",L,Puntarenas,Puntarenas,Barranca,60108,300 metros al este del Banco Nacional de la zona franca en Barranca.,87765380,,,https://www.facebook.com/p/Centro-Agronegocios-Barranca-100063724594841/,,2000-02-11,Asociación de Agricultores y Productores de la Feria del Agricultor de Puntarenas,,feria,surface,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,
sanmartindecoronado,Barrio San Martín de Coronado,,,Fr 09:00-20:00; Sa 06:00-12:00,SRID=4326;POINT (-84.0139677328471 9.97374530142947),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",L,San José,Vázquez de Coronado,San Martín,11101,Al costado de Yire Medical en la calle de la clínica de Coronado,22294023,,centroagricolacantonaldecoronado.com,https://www.facebook.com/p/Feria-San-Martin-Coronado-100056371195760/?locale=es_LA,,2015-06-25,Centro Agrícola Cantonal de Coronado,Central Oriental,feria,surface,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,
barva,Barva,,,Sa 05:00-13:00,SRID=4326;POINT (-84.1285240018812 10.0188019537426),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",M,Heredia,Barva,Barva,40201,Frente a la plaza San Bartolomé,85061879 y 88077781,cacbarva@gmail.com,,https://www.facebook.com/CACBarva/?locale=es_LA,,2012-07-25,Centro Agrícola Cantonal de Barva,,feria,lane,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,respotería
bijagua,Bijagua,Feria Campesina Bijagüeña,,Sa 08:00-17:00,SRID=4326;POINT (-85.056791055683 10.7302359346925),"SRID=4326;POLYGON ((-83.9343774318695 9.967492765206455, -84.09253120422363 9.9290005763965, -84.08341705799103 9.778496959885052, -83.90381097793579 9.69983539777535, -83.80019187927246 9.78447063109153, -83.69711458683015 9.914389794902185, -83.86083126068115 9.908265226548764, -83.86308968067169 9.980938863268324, -83.90461564064026 10.052117305131944, -83.9343774318695 9.967492765206455))",S,Alajuela,Upala,Bijagua,21304,"del Banco Nacional, 100 m al norte frente a la farmacia Margarita ",87431848,asociacionentrevolcanes@gmail.com,,,,2011-03-27,"Asociación entre volcanes, División Regional Huetar Norte",Huetar Norte,mercado,street_side,false,false,true,false,false,false,true,true,true,false,false,false,false,true,true,
